Precursor index,classification, rSAM present,rSAM distance <2000,rSAM distance <1000,rSAM distance >5000,ansme evalue,ansme_score,ansme score >40,ansme score >100,sulfatase present,HexxH domain present,precuror retrieved by Wpr RRE,precursor length <70,precursor length <90,precursor length >110,precursor length >200,1 cys,2 cys,3+ cys,>2 cyclophane motifs,Number of cyclophane motifs,Percent Aromatic,Triceptide precursor hmms,precursor no hmm match,rgg/shp,synergy,common transporter,rsam hmm,Inferred gene,fimo motif 1, motif 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,number of motifs present, occurances of 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,rSAM distance,precursor length,core charge,precursor charge,last_third charge,abs(core charge),abs(precursor charge),abs(last third charge),CORE COUNT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point,PRECURSOR count A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point,LAST THIRD COUNT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point
1,1,1,1,1,0,3.1e-39,38.50863830616573,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,71,64,-2,-6,-2,2,6,2,4,2,4,1,0,0,0,2,0,1,4,0,1,2,2,6,0,0,0,3,0.125,0.0625,0.125,0.03125,0,0,0,0.0625,0,0.03125,0.125,0,0.03125,0.0625,0.0625,0.1875,0,0,0,0.09375,2,4,2,6,15,6,4.139095115661621,7,2,7,1,0,2,2,5,0,2,8,1,2,2,5,10,3,1,0,4,0.109375,0.03125,0.109375,0.015625,0,0.03125,0.03125,0.078125,0,0.03125,0.125,0.015625,0.03125,0.03125,0.078125,0.15625,0.046875,0.015625,0,0.0625,3,9,3,12,28,13,4.0500284194946286,1,2,3,1,0,0,0,1,0,1,2,0,0,2,1,5,0,0,0,3,0.045454545454545456,0.090909091,0.13636363636363635,0.045454545454545456,0,0,0,0.045454545454545456,0,0.045454545454545456,0.090909091,0,0,0.090909091,0.045454545454545456,0.22727272727272727,0,0,0,0.13636363636363635,2,3,2,5,8,5,4.428973960876465
2,1,1,1,1,0,1.2e-32,31.920818753952375,0,0,0,1,0,1,1,0,0,0,0,0,1,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,29,65,-3,-6,-3,3,6,3,7,3,1,1,0,2,5,1,0,0,1,0,0,5,0,3,2,0,0,2,0.21212121212121213,0.090909091,0.030303030303030304,0.030303030303030304,0,0.060606061,0.15151515151515152,0.030303030303030304,0,0,0.030303030303030304,0,0,0.15151515151515152,0,0.090909091,0.060606061,0,0,0.060606061,5,6,3,9,11,5,4.567376899719239,10,4,5,1,0,6,5,4,0,0,6,0,1,5,3,4,5,0,0,6,0.15384615384615385,0.061538462,0.076923077,0.015384615384615385,0,0.092307692,0.076923077,0.061538462,0,0,0.092307692,0,0.015384615384615385,0.076923077,0.046153846153846156,0.061538462,0.076923077,0,0,0.092307692,5,10,4,14,27,9,4.208779716,5,1,1,1,0,2,2,1,0,0,1,0,0,3,0,2,1,0,0,2,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456,0,0.090909091,0.090909091,0.045454545454545456,0,0,0.045454545454545456,0,0,0.13636363636363635,0,0.090909091,0.045454545454545456,0,0,0.090909091,3,3,1,4,9,3,4.426586723327637
3,1,1,1,1,0,1.6e-37,36.795880017344075,0,0,0,1,0,0,1,0,0,0,0,0,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,335,79,0,-9,0,0,9,0,8,6,3,0,0,1,4,1,1,3,1,0,0,2,4,1,2,0,2,1,0.2,0.15,0.075,0,0,0.025,0.1,0.025,0.025,0.075,0.025,0,0,0.05,0.1,0.025,0.05,0,0.05,0.025,4,7,6,13,14,3,5.638735008239746,11,8,11,0,0,1,7,6,1,4,6,0,2,3,5,6,2,0,2,4,0.13924050632911392,0.10126582278481013,0.13924050632911392,0,0,0.012658227848101266,0.088607595,0.075949367,0.012658227848101266,0.050632911,0.075949367,0,0.025316456,0.037974684,0.063291139,0.075949367,0.025316456,0,0.025316456,0.050632911,5,18,8,26,33,8,4.220033836364746,5,2,3,0,0,1,3,1,1,0,0,0,0,1,4,1,2,0,2,1,0.18518518518518517,0.074074074,0.1111111111111111,0,0,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0,0,0,0,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.074074074,0,0.074074074,0.037037037037037035,3,6,2,8,7,3,4.290627861
4,1,1,1,1,0,9.3e-34,33.031517051446066,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,285,67,1,-3,1,1,3,1,2,4,2,0,0,1,3,3,1,1,5,1,1,1,2,2,1,1,0,3,0.058823529411764705,0.11764705882352941,0.058823529411764705,0,0,0.029411764705882353,0.088235294,0.088235294,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.029411764705882353,0,0.088235294,2,5,5,10,15,3,6.771024513244629,4,6,5,0,0,2,7,5,1,2,9,2,2,1,5,5,4,1,0,6,0.059701493,0.089552239,0.074626866,0,0,0.029850746268656716,0.1044776119402985,0.074626866,0.014925373134328358,0.029850746268656716,0.13432835820895522,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.074626866,0.074626866,0.059701493,0.014925373134328358,0,0.089552239,2,12,8,20,28,9,4.781091499328612,1,3,1,0,0,1,3,3,0,1,3,0,1,1,1,2,0,1,0,1,0.043478260869565216,0.13043478260869565,0.043478260869565216,0,0,0.043478260869565216,0.13043478260869565,0.13043478260869565,0,0.043478260869565216,0.13043478260869565,0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.086956522,0,0.043478260869565216,0,0.043478260869565216,2,4,3,7,10,2,4.870499229431151
5,1,1,0,0,0,9e-38,37.045757490560675,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2571,54,1,-3,1,1,3,1,6,2,1,0,0,1,1,2,0,0,5,1,0,1,2,3,0,0,0,2,0.2222222222222222,0.074074074,0.037037037037037035,0,0,0.037037037037037035,0.037037037037037035,0.074074074,0,0,0.18518518518518517,0.037037037037037035,0,0.037037037037037035,0.074074074,0.1111111111111111,0,0,0,0.074074074,1,2,3,5,15,3,8.845271873474118,10,3,3,1,0,1,4,5,0,2,9,1,1,1,2,6,1,0,1,3,0.18518518518518517,0.055555556,0.055555556,0.018518518518518517,0,0.018518518518518517,0.074074074,0.092592593,0,0.037037037037037035,0.16666666666666666,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.018518518518518517,0,0.018518518518518517,0.055555556,2,7,4,11,30,7,4.440682792663575,4,2,1,0,0,1,0,2,0,0,3,0,0,1,1,2,0,0,0,1,0.2222222222222222,0.1111111111111111,0.055555556,0,0,0.055555556,0,0.1111111111111111,0,0,0.16666666666666666,0,0,0.055555556,0.055555556,0.1111111111111111,0,0,0,0.055555556,1,1,2,3,10,2,9.598713874816895
6,1,1,1,1,0,3.3e-30,29.481486060122112,0,0,0,1,0,1,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,127,62,-1,-7,-1,1,7,1,6,2,1,0,0,2,4,2,1,3,2,1,0,2,1,2,1,0,0,1,0.1935483870967742,0.064516129,0.032258065,0,0,0.064516129,0.12903225806451613,0.064516129,0.032258065,0.096774194,0.064516129,0.032258065,0,0.064516129,0.032258065,0.064516129,0.032258065,0,0,0.032258065,2,5,3,8,14,3,4.960589027404784,10,3,7,0,0,3,6,3,2,4,8,1,1,2,2,4,2,0,0,4,0.16129032258064516,0.048387097,0.11290322580645161,0,0,0.048387097,0.096774194,0.048387097,0.032258065,0.064516129,0.12903225806451613,0.016129032258064516,0.016129032258064516,0.032258065,0.032258065,0.064516129,0.032258065,0,0,0.064516129,2,13,4,17,30,6,4.185418891906737,5,0,1,0,0,2,4,1,0,2,1,1,0,1,1,1,1,0,0,0,0.23809523809523808,0,0.047619047619047616,0,0,0.095238095,0.19047619047619047,0.047619047619047616,0,0.095238095,0.047619047619047616,0.047619047619047616,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0,0,0,1,5,1,6,9,2,4.0500284194946286
7,1,1,1,1,0,2.4e-59,58.619788758288394,1,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,438,49,-1,1,-1,1,1,1,0,3,1,4,0,1,4,0,0,0,1,1,0,2,1,2,2,1,2,0,0,0.12,0.04,0.16,0,0.04,0.16,0,0,0,0.04,0.04,0,0.08,0.04,0.08,0.08,0.04,0.08,0,5,5,4,9,1,4,5.006117057800293,1,4,4,9,0,2,4,1,1,0,2,4,1,3,2,4,3,1,2,1,0.020408163,0.081632653,0.081632653,0.1836734693877551,0,0.040816327,0.081632653,0.020408163,0.020408163,0,0.040816327,0.081632653,0.020408163,0.061224489795918366,0.040816327,0.081632653,0.061224489795918366,0.020408163,0.040816327,0.020408163,6,8,8,16,6,7,6.542702293395997,0,1,0,1,0,1,3,0,0,0,1,1,0,2,1,2,1,1,2,0,0,0.058823529411764705,0,0.058823529411764705,0,0.058823529411764705,0.17647058823529413,0,0,0,0.058823529411764705,0.058823529411764705,0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0,5,3,2,5,1,3,4.785979652404785
8,1,1,1,1,0,1.3e-35,34.88605664769317,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,120,51,-1,-5,-1,1,5,1,4,3,2,0,0,0,2,2,0,0,4,0,1,1,1,2,1,1,0,2,0.15384615384615385,0.11538461538461539,0.076923077,0,0,0,0.076923077,0.076923077,0,0,0.15384615384615385,0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.076923077,0.038461538461538464,0.038461538461538464,0,0.076923077,2,4,3,7,13,3,4.782910346984862,4,4,7,1,0,0,4,2,2,0,11,0,2,1,3,3,3,1,0,3,0.078431373,0.078431373,0.13725490196078433,0.019607843,0,0,0.078431373,0.039215686,0.039215686,0,0.21568627450980393,0,0.039215686,0.019607843,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.019607843,0,0.058823529411764705,2,11,4,15,22,6,4.295231819152832,3,2,0,0,0,0,1,2,0,0,2,0,1,1,1,2,1,1,0,0,0.17647058823529413,0.11764705882352941,0,0,0,0,0.058823529411764705,0.11764705882352941,0,0,0.11764705882352941,0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0,0,2,1,2,3,8,3,9.598842811584472
9,1,1,1,1,0,5.2e-36,35.283996656365204,0,0,0,0,0,1,1,0,0,1,0,0,1,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,212,67,0,-4,0,0,4,0,6,2,1,0,0,0,4,1,2,0,3,1,1,0,3,3,1,0,2,4,0.17647058823529413,0.058823529411764705,0.029411764705882353,0,0,0,0.11764705882352941,0.029411764705882353,0.058823529411764705,0,0.088235294,0.029411764705882353,0.029411764705882353,0,0.088235294,0.088235294,0.029411764705882353,0,0.058823529411764705,0.11764705882352941,2,5,3,8,15,4,5.4206438064575195,11,2,5,0,1,0,5,6,2,0,6,2,2,1,8,6,2,0,2,6,0.16417910447761194,0.029850746268656716,0.074626866,0,0.014925373134328358,0,0.074626866,0.089552239,0.029850746268656716,0,0.089552239,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.11940298507462686,0.089552239,0.029850746268656716,0,0.029850746268656716,0.089552239,3,10,4,14,31,8,4.445570945739747,5,1,1,0,0,0,4,0,1,0,1,0,1,0,2,2,1,0,2,2,0.21739130434782608,0.043478260869565216,0.043478260869565216,0,0,0,0.17391304347826086,0,0.043478260869565216,0,0.043478260869565216,0,0.043478260869565216,0,0.086956522,0.086956522,0.043478260869565216,0,0.086956522,0.086956522,2,5,1,6,9,3,4.245781898498536
10,1,1,1,1,0,4e-37,36.39794000867204,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,76,-1,-9,-1,1,9,1,8,4,3,2,0,0,2,0,0,1,5,0,1,0,5,2,0,0,1,4,0.21052631578947367,0.10526315789473684,0.078947368,0.052631579,0,0,0.052631579,0,0,0.026315789,0.13157894736842105,0,0.026315789,0,0.13157894736842105,0.052631579,0,0,0.026315789,0.10526315789473684,1,5,4,9,19,2,4.864872169494628,12,6,10,2,1,0,5,1,0,1,15,0,2,0,13,2,0,0,1,5,0.15789473684210525,0.078947368,0.13157894736842105,0.026315789,0.013157894736842105,0,0.065789474,0.013157894736842105,0,0.013157894736842105,0.19736842105263158,0,0.026315789,0,0.17105263157894737,0.026315789,0,0,0.013157894736842105,0.065789474,1,15,6,21,36,2,4.0500284194946286,5,1,3,1,0,0,2,0,0,1,4,0,1,0,3,2,0,0,1,2,0.19230769230769232,0.038461538461538464,0.11538461538461539,0.038461538461538464,0,0,0.076923077,0,0,0.038461538461538464,0.15384615384615385,0,0.038461538461538464,0,0.11538461538461539,0.076923077,0,0,0.038461538461538464,0.076923077,1,5,1,6,13,2,4.0500284194946286
